Image, nth, axis, time, TP, FP, FN, TN
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c10l.mha, 2, -1, 0.676712, 547583, 12009, 278, 2781866
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c10l.mha, 2, 0, 0.3352, 544959, 4048, 2902, 2789827
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c10l.mha, 2, 1, 0.289244, 544151, 4356, 3710, 2789519
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c10l.mha, 2, 2, 0.327774, 534607, 12278, 13254, 2781597
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c10l.mha, 3, -1, 0.556252, 546809, 15473, 1052, 2778402
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c10l.mha, 3, 0, 0.260021, 540934, 5515, 6927, 2788360
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c10l.mha, 3, 1, 0.236214, 538689, 6354, 9172, 2787521
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c10l.mha, 3, 2, 0.200502, 520343, 21764, 27518, 2772111
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c10l.mha, 4, -1, 0.654866, 546392, 21566, 1469, 2772309
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c10l.mha, 4, 0, 0.218271, 539268, 6769, 8593, 2787106
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c10l.mha, 4, 1, 0.243926, 537668, 9209, 10193, 2784666
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c10l.mha, 4, 2, 0.264539, 502849, 18109, 45012, 2775766
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c10l.mha, 5, -1, 0.56771, 545914, 27155, 1947, 2766720
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c10l.mha, 5, 0, 0.218947, 535642, 7964, 12219, 2785911
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c10l.mha, 5, 1, 0.19761, 534146, 12030, 13715, 2781845
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c10l.mha, 5, 2, 0.202829, 498308, 25880, 49553, 2767995
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c10l.mha, 6, -1, 0.531413, 545180, 25726, 2681, 2768149
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c10l.mha, 6, 0, 0.22093, 533484, 9511, 14377, 2784364
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c10l.mha, 6, 1, 0.197273, 531645, 14761, 16216, 2779114
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c10l.mha, 6, 2, 0.118247, 454899, 18204, 92962, 2775671
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c10l.mha, 7, -1, 0.517196, 544512, 31607, 3349, 2762268
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c10l.mha, 7, 0, 0.212759, 531870, 12045, 15991, 2781830
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c10l.mha, 7, 1, 0.18623, 527500, 17076, 20361, 2776799
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c10l.mha, 7, 2, 0.176085, 449322, 21527, 98539, 2772348
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c10l.mha, 8, -1, 0.542098, 544586, 39501, 3275, 2754374
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c10l.mha, 8, 0, 0.181494, 530610, 13476, 17251, 2780399
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c10l.mha, 8, 1, 0.192378, 525694, 19275, 22167, 2774600
C:/Dev/itk-snap-mci/bld15/ExternalData/test/Input/c10l.mha, 8, 2, 0.222843, 410910, 21176, 136951, 2772699
